ID;NAME;BRAND ID;BRAND;GROUP ID;GROUP NAME;SUBGROUP ID;SUBGROUP NAME;SPECIAL;TRAFFICLIGHT VALUE;PYRAMID VALUE;CARBS;SUGAR;ENERGY;PROTEINS;SATURATED FAT;FAT;SALT;SODIUM;FIBER
2912;Col, patatas y zanahorias;130;Gvtarra;9;Verduras y hortalizas;12;Conserva;No;2;2A;3.3;0.6;19;0.8;0;0;0.7;0.28;1.2
2891;Coles de bruselas calidad extra;130;Gvtarra;9;Verduras y hortalizas;12;Conserva;No;3;2A;3.7;1.2;27;1.7;0;0;0.88;0.352;2.6
1688;Colines de espelta bio;93;El Granero Integral;7;Cereales;13;Derivados;No;3;1;80;0.7;386;11.4;1.4;1.8;1.85;0.74;3.7
252;Condimento agrio de limón;42;Merry Sab;16;Salsas, condimentos y especias;11;Condimentos;No;1;0;0;NaN;0.32;0;NaN;0;NaN;NaN;NaN
1226;Confitura de albaricoque diet;90;Hero;8;Frutas;13;Derivados;No;0;0;14.8;6.2;53;0.8;0;0.2;0;NaN;1.1
1213;Confitura de albaricoques selectos;90;Hero;8;Frutas;13;Derivados;No;3;5;65;63;265;0.4;0;0.1;0;0;NaN
1212;Confitura de arándanos selectos;90;Hero;8;Frutas;13;Derivados;No;3;5;65;63;268;0.4;0;0.2;0;0;NaN
1227;Confitura de arándanos y frambuesa diet;90;Hero;8;Frutas;13;Derivados;No;0;0;12.5;3.9;41;0.4;0;0.1;0;NaN;1.3
1218;Confitura de arándanos y frambuesas selectas;90;Hero;8;Frutas;13;Derivados;No;3;5;65;63;268;0.4;0;0.2;0;0;NaN
2383;Confitura de arnándano;150;Helio's;8;Frutas;13;Derivados;No;3;5;60;57;250;0.3;0.01;0.3;0;0;2.7
1211;Confitura de cabello de ángel selecto;90;Hero;9;Verduras y hortalizas;13;Derivados;No;3;5;65;63;265;0.4;0;0.1;0;0;NaN
1214;Confitura de cerezas selectas;90;Hero;8;Frutas;13;Derivados;No;3;5;65;63;265;0.6;0;0.1;0;0;NaN
1221;Confitura de ciruela diet;90;Hero;8;Frutas;13;Derivados;No;0;0;14.1;5.3;47;0.3;0;0.2;0;NaN;0.8
1210;Confitura de ciruelas selectas;90;Hero;8;Frutas;13;Derivados;No;3;5;64;63;263;0.3;0.4;0.1;0;0;NaN
2384;Confitura de frambuesa;150;Helio's;8;Frutas;13;Derivados;No;3;5;60;57;250;0.7;0.01;0.2;0;0;2.6
1223;Confitura de frambuesa diet;90;Hero;8;Frutas;13;Derivados;No;0;0;11.5;3;38;0.4;0;0.1;0;NaN;1.5
1204;Confitura de frambuesas selectas;90;Hero;8;Frutas;13;Derivados;No;3;5;65;63;267;0.6;0;0.1;0;0;NaN
2381;Confitura de fresa;150;Helio's;8;Frutas;13;Derivados;No;3;5;60;59;246;0.4;0.02;0.02;0;0;1.1
1222;Confitura de fresa diet;90;Hero;8;Frutas;13;Derivados;No;0;0;11.1;2.6;36;0.4;0;0.2;0;NaN;0.8
1203;Confitura de fresas selectas;90;Hero;8;Frutas;13;Derivados;No;3;5;63;60;258;0.3;0;0.1;0;0;NaN
1205;Confitura de frutas del bosque selectas;90;Hero;8;Frutas;13;Derivados;No;3;5;65;63;268;0.5;0;0.2;0;0;NaN
2378;Confitura de frutas tropicales;150;Helio's;8;Frutas;13;Derivados;No;3;5;60;58;249;0.6;0;0.1;0;0;2.5
